Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,26.16,236.550535741511,509.35,4511.16423946796,298.97,2357.95206235916
100,24.205,237.840044659082,3479.005,60730.2289831301,3314.85,59410.0075802414
1000,127.646666666667,400.460856343693,26212.4033333333,208377.301037172,31828.01,229684.13458234
10000,713.0075,2423.24932015258,157010.1825,593165.078609798,128347.39,529108.719139023
100000,6002.656,26836.0948931999,1271600.734,5665055.05085947,1863940.422,8671877.07841774
