Work Bias (ticks),Sequential,Fork Join,Lenient
2500000,29574932587,507789389,504232925
1250000,14910203954,250548406,250467984
625000,7570762069,128991469,127781624
312500,3828616104,67861911,64431065
156250,1926692145,38228682,36347678
78125,986985681,18848571,18986404
39062,528062243,7261273,10542913
19531,312436910,3619894,3872028
9766,301169380,4529833,3472535
4883,6209,60794,41953
