Work Bias (ticks),Sequential,Fork Join,Lenient
2500000,15015254858,515235397,507586107
1250000,7559037337,250370037,252690627
625000,3839563533,127625023,128605109
312500,1920021356,64739681,62555406
156250,960908668,31441356,31401348
78125,481357499,15457756,15460786
39062,241853024,7530210,7260412
19531,129630963,3418313,3449750
9766,118274847,4629873,3602219
4883,20511,157542,87824
