Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,89.8019801980198,804.216492004883,1737.06930693069,11821.8376796571,1768.41584158416,11698.9872207446
100,64.9950495049505,808.228261549622,1734.88613861386,12083.8294015642,2365.20792079208,12169.3894218415
1000,167.412541254125,889.526375527123,12683.6633663366,89876.5040546207,11716.9834983498,36421.4438367139
10000,2836.08663366337,80987.3832582991,61798.6410891089,364284.193969474,201597.02970297,882353.698819506
100000,10540.2871287129,120786.284620475,263366.813861386,1124275.46204967,2062218.04356436,9585987.97487978
