Problem Size,Sequential,Sequential Error,Async Workflow,Async Workflow Error,TPL,TPL Error,Lenient,Lenient Error
3,608.110000,5328.502666,156249.000000,NaN,27679.980000,85870.926043,20985.970000,17252.441312
9,462.215000,3885.388040,142985.000000,13263.999962,28329.530000,64014.006917,34755.265000,36645.814662
27,423.783333,3172.977782,2795812716.000000,3953674049.510980,100528.243333,151679.562319,116010.290000,133973.475731
81,567.385000,2759.542033,7976798069.000000,9604763482.321360,128164.377500,162586.197582,229566.172500,475182.530681
243,1080.512000,2677.270304,19092624176.200000,23833748035.571400,189659.832000,382075.993702,537239.858000,1541119.009416
