Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,163.93,111.840802482815,3190.76,2037.34678010397,2128.99,270.882502018864
100,851.755,1773.49691428404,37641.985,282669.99876408,13514.32,13859.2049255215
1000,6033.38,7729.09142367976,155483.086666667,889752.37874458,92649.2466666667,114139.871158267
10000,54277.345,85213.8852644097,678582.63,1189519.58962335,716234.24,1085358.16144185
100000,496242.734,888124.914028755,5373927.124,9468335.55387697,6103808.356,10820597.6320437
