Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
1,9321.95,91462.3142649883,33507.93,331510.675515382,74358.63,530983.15217441
4,4733,64837.2584010922,40273.48,365022.014009265,74611.125,498794.234609553
8,3216.5,52983.6078160343,40738.49,338626.243690439,59335.0033333333,413896.185920902
16,2472.095,45903.630799382,34836.53,293443.276784959,52547.39,358639.739472891
32,2062.524,41067.0747835955,32692.04,262506.512656494,53223.432,320964.157824941
