Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
10,392.09,863.439888990542,25350.78,12408.9300768277,39379.98,18209.2937721264
100,1301.04,2016.83434332123,103346.915,513982.074269169,177683.385,169986.071951195
1000,7949.31333333333,9619.33096851451,327342.84,545172.312956385,1825439.97333333,4831815.01014223
10000,81552.0675,334892.036255967,2147741.4,3196523.34788504,18714125.1625,37138887.985366
100000,724794.324,1420463.49869856,17979724.294,31958017.8255625,179687032.444,327150894.709987
